,Is_Stock,Is_ETF,Is_Reits,Is_Commodity,Is_Alts,Is_Crypto,Is_International
AAPL,1,0,0,0,0,0,0
MSFT,1,0,0,0,0,0,0
GOOGL,1,0,0,0,0,0,0
AMZN,1,0,0,0,0,0,0
NVDA,1,0,0,0,0,0,0
META,1,0,0,0,0,0,0
TSLA,1,0,0,0,0,0,0
BRK-B,1,0,0,0,0,0,0
UNH,1,0,0,0,0,0,0
JPM,1,0,0,0,0,0,0
V,1,0,0,0,0,0,0
JNJ,1,0,0,0,0,0,0
WMT,1,0,0,0,0,0,0
PG,1,0,0,0,0,0,0
MA,1,0,0,0,0,0,0
XOM,1,0,0,0,0,0,0
LLY,1,0,0,0,0,0,0
HD,1,0,0,0,0,0,0
MRK,1,0,0,0,0,0,0
ABBV,1,0,0,0,0,0,0
AVGO,1,0,0,0,0,0,0
COST,1,0,0,0,0,0,0
PEP,1,0,0,0,0,0,0
KO,1,0,0,0,0,0,0
CVX,1,0,0,0,0,0,0
MCD,1,0,0,0,0,0,0
BAC,1,0,0,0,0,0,0
ADBE,1,0,0,0,0,0,0
PFE,1,0,0,0,0,0,0
CSCO,1,0,0,0,0,0,0
TMO,1,0,0,0,0,0,0
DIS,1,0,0,0,0,0,0
ABT,1,0,0,0,0,0,0
VZ,1,0,0,0,0,0,0
CRM,1,0,0,0,0,0,0
ACN,1,0,0,0,0,0,0
DHR,1,0,0,0,0,0,0
NKE,1,0,0,0,0,0,0
LIN,1,0,0,0,0,0,0
TXN,1,0,0,0,0,0,0
WFC,1,0,0,0,0,0,0
INTC,1,0,0,0,0,0,0
ORCL,1,0,0,0,0,0,0
NEE,1,0,0,0,0,0,0
PM,1,0,0,0,0,0,0
MS,1,0,0,0,0,0,0
UNP,1,0,0,0,0,0,0
AMGN,1,0,0,0,0,0,0
QCOM,1,0,0,0,0,0,0
HON,1,0,0,0,0,0,0
LOW,1,0,0,0,0,0,0
UPS,1,0,0,0,0,0,0
SBUX,1,0,0,0,0,0,0
IBM,1,0,0,0,0,0,0
MDT,1,0,0,0,0,0,0
AMT,1,0,0,0,0,0,0
CAT,1,0,0,0,0,0,0
GS,1,0,0,0,0,0,0
RTX,1,0,0,0,0,0,0
BLK,1,0,0,0,0,0,0
SPGI,1,0,0,0,0,0,0
PLD,1,0,0,0,0,0,0
CVS,1,0,0,0,0,0,0
LMT,1,0,0,0,0,0,0
ISRG,1,0,0,0,0,0,0
DE,1,0,0,0,0,0,0
T,1,0,0,0,0,0,0
SYK,1,0,0,0,0,0,0
MO,1,0,0,0,0,0,0
MDLZ,1,0,0,0,0,0,0
AXP,1,0,0,0,0,0,0
SCHW,1,0,0,0,0,0,0
CB,1,0,0,0,0,0,0
GILD,1,0,0,0,0,0,0
ZTS,1,0,0,0,0,0,0
MMC,1,0,0,0,0,0,0
ADP,1,0,0,0,0,0,0
C,1,0,0,0,0,0,0
ELV,1,0,0,0,0,0,0
DUK,1,0,0,0,0,0,0
SO,1,0,0,0,0,0,0
CL,1,0,0,0,0,0,0
USB,1,0,0,0,0,0,0
TGT,1,0,0,0,0,0,0
PNC,1,0,0,0,0,0,0
BDX,1,0,0,0,0,0,0
SHW,1,0,0,0,0,0,0
CI,1,0,0,0,0,0,0
BKNG,1,0,0,0,0,0,0
APD,1,0,0,0,0,0,0
REGN,1,0,0,0,0,0,0
FISV,1,0,0,0,0,0,0
EOG,1,0,0,0,0,0,0
GM,1,0,0,0,0,0,0
FDX,1,0,0,0,0,0,0
AON,1,0,0,0,0,0,0
PSX,1,0,0,0,0,0,0
AIG,1,0,0,0,0,0,0
HUM,1,0,0,0,0,0,0
MET,1,0,0,0,0,0,0
BND,0,1,0,0,0,0,0
AGG,0,1,0,0,0,0,0
TLT,0,1,0,0,0,0,0
LQD,0,1,0,0,0,0,0
IEF,0,1,0,0,0,0,0
SHY,0,1,0,0,0,0,0
HYG,0,1,0,0,0,0,0
JNK,0,1,0,0,0,0,0
MUB,0,1,0,0,0,0,0
BNDX,0,1,0,0,0,0,0
TIP,0,1,0,0,0,0,0
VCIT,0,1,0,0,0,0,0
VCSH,0,1,0,0,0,0,0
EMB,0,1,0,0,0,0,0
BSV,0,1,0,0,0,0,0
SCHO,0,1,0,0,0,0,0
